index,category,Document Title,Document No.,TN No.,Rev.
1,STC,STANDARD AUXILIARY PIPING SUPPORTS COLLECTION,079254C-0000-STC-1390-000,T-TP-PTJ-00215,0
2,STC,STANDARD AUXILIARY PIPING SUPPORTS COLLECTION,079254C-0000-STC-1390-000,T-TP-PTJ-00359,1
3,STC,DESIGN SPECIFICATION FOR PIPING DESIGN - III STANDARD CONSTRUCTION DRAWINGS,079254C-0000-STC-1390-001,T-TP-PTJ-00071,2
4,STC,DESIGN SPECIFICATION FOR PIPING DESIGN - III STANDARD CONSTRUCTION DRAWINGS,079254C-0000-STC-1390-001,T-TP-PTJ-00100,3
5,STC,"DESIGN SPECIFICATION RULES FOR THE DESIGN OF JACKETED PIPING
- II STANDARD DESIGN DRAWINGS",079254C-0000-STC-1390-002,T-TP-PTJ-00071,2
6,STC,"DESIGN SPECIFICATION RULES FOR THE DESIGN OF JACKETED PIPING
- II STANDARD DESIGN DRAWINGS",079254C-0000-STC-1390-002,T-TP-PTJ-00697,3
